B-V,M_fin,Mv,actual_M_ini,age_gyr,age_myr,filename,logL,logTe,mass_difference,mh,requested_M_ini
1.3308999999999997,0.6002406474,8.6042,0.6002406474,9.4,9400.0,data/basti/9400z172y269p00o1d1e1.isc_john,-1.1246200000000002,3.6004400000000003,0.00024064740000007134,0.062,0.6
1.3315000000000001,0.598759831,8.6197,0.598759831,9.5,9500.0,data/basti/9500z172y269p00o1d1e1.isc_john,-1.12871,3.59995,0.0012401690000000132,0.062,0.6
1.3309999999999995,0.599861734,8.6057,0.599861734,9.6,9600.0,data/basti/9600z172y269p00o1d1e1.isc_john,-1.1249799999999999,3.6003800000000004,0.000138265999999998,0.062,0.6
1.3301999999999996,0.6009676408,8.5899,0.6009676408,9.7,9700.0,data/basti/9700z172y269p00o1d1e1.isc_john,-1.12093,3.60092,0.0009676408000000025,0.062,0.6
1.3310000000000013,0.5995287856,8.6063,0.5995287856,9.8,9800.0,data/basti/9800z172y269p00o1d1e1.isc_john,-1.1251200000000001,3.60037,0.00047121439999997516,0.062,0.6
1.3301999999999996,0.6006495054,8.5909,0.6006495054,9.9,9900.0,data/basti/9900z172y269p00o1d1e1.isc_john,-1.12113,3.60088,0.0006495053999999723,0.062,0.6
1.3310000000000013,0.5992394959,8.6063,0.5992394959,10.0,10000.0,data/basti/10000z172y269p00o1d1e1.isc_john,-1.12514,3.60037,0.000760504099999948,0.062,0.6
1.3301999999999996,0.6003741156,8.5913,0.6003741156,10.1,10100.0,data/basti/10100z172y269p00o1d1e1.isc_john,-1.1211799999999998,3.60085,0.0003741156000000023,0.062,0.6
1.3309999999999995,0.5989917119,8.6059,0.5989917119,10.2,10200.0,data/basti/10200z172y269p00o1d1e1.isc_john,-1.12504,3.6003800000000004,0.0010082880999999766,0.062,0.6
1.3301999999999996,0.6001393822,8.5912,0.6001393822,10.3,10300.0,data/basti/10300z172y269p00o1d1e1.isc_john,-1.1211,3.60085,0.00013938219999998225,0.062,0.6
1.3308999999999997,0.5987834215,8.6051,0.5987834215,10.4,10400.0,data/basti/10400z172y269p00o1d1e1.isc_john,-1.1248200000000002,3.6004099999999997,0.0012165785000000096,0.062,0.6
1.3302999999999994,0.5999433515,8.5904,0.5999433515,10.5,10500.0,data/basti/10500z172y269p00o1d1e1.isc_john,-1.12087,3.6008699999999996,5.664849999997834e-05,0.062,0.6
1.3293,0.6011058051,8.5736,0.6011058051,10.6,10600.0,data/basti/10600z172y269p00o1d1e1.isc_john,-1.11658,3.60145,0.0011058051000000235,0.062,0.6
1.3301999999999996,0.5997841938,8.589,0.5997841938,10.7,10700.0,data/basti/10700z172y269p00o1d1e1.isc_john,-1.12049,3.60091,0.0002158061999999461,0.062,0.6
1.3292000000000002,0.6009578969,8.5723,0.6009578969,10.8,10800.0,data/basti/10800z172y269p00o1d1e1.isc_john,-1.1162,3.6014800000000005,0.0009578969000000326,0.062,0.6
1.33,0.5996601937,8.5872,0.5996601937,10.9,10900.0,data/basti/10900z172y269p00o1d1e1.isc_john,-1.12,3.60097,0.00033980629999996737,0.062,0.6
1.3290999999999986,0.6008444778,8.5706,0.6008444778,11.0,11000.0,data/basti/11000z172y269p00o1d1e1.isc_john,-1.11571,3.6015300000000003,0.0008444778000000763,0.062,0.6
1.3298999999999985,0.5995697410999999,8.585,0.5995697410999999,11.1,11100.0,data/basti/11100z172y269p00o1d1e1.isc_john,-1.11941,3.6010400000000002,0.00043025890000003564,0.062,0.6
1.3289999999999988,0.6007639814,8.5684,0.6007639814,11.2,11200.0,data/basti/11200z172y269p00o1d1e1.isc_john,-1.1151,3.6016,0.0007639814000000023,0.062,0.6
1.3298000000000005,0.599511323,8.5824,0.599511323,11.3,11300.0,data/basti/11300z172y269p00o1d1e1.isc_john,-1.11873,3.6011300000000004,0.0004886769999999929,0.062,0.6
1.328800000000001,0.6007149346,8.5658,0.6007149346,11.4,11400.0,data/basti/11400z172y269p00o1d1e1.isc_john,-1.11439,3.6016800000000004,0.00071493460000005,0.062,0.6
1.329600000000001,0.5994835159,8.5795,0.5994835159,11.5,11500.0,data/basti/11500z172y269p00o1d1e1.isc_john,-1.11794,3.6012199999999996,0.0005164840999999365,0.062,0.6
1.3286000000000016,0.6006959510000001,8.5628,0.6006959510000001,11.6,11600.0,data/basti/11600z172y269p00o1d1e1.isc_john,-1.11358,3.60178,0.0006959510000000835,0.062,0.6
1.3294999999999995,0.5994849796,8.5762,0.5994849796,11.7,11700.0,data/basti/11700z172y269p00o1d1e1.isc_john,-1.11707,3.60132,0.0005150203999999547,0.062,0.6
1.3284000000000002,0.6007057245,8.5594,0.6007057245,11.8,11800.0,data/basti/11800z172y269p00o1d1e1.isc_john,-1.11266,3.60189,0.00070572450000006,0.062,0.6
1.3293,0.5995144508,8.5726,0.5995144508,11.9,11900.0,data/basti/11900z172y269p00o1d1e1.isc_john,-1.1161,3.60144,0.0004855491999999906,0.062,0.6
