period,night,grade,mode,sequence_science,observed_name,pndrs_name,matched_id,expected_role,actual_role,science_value,Primary,HD_ID,Ref_ID_1,Ref_ID_2,Ref_ID_3,n_raw_observations,status
105,2022-03-31,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,HD141004,HD142639,HD142639,HD142639,CAL,CAL,False,HD142639,HD142639,,,,6,OK
105,2022-03-31,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,HD141004,HD141004,HD141004,HD141004,SCI,SCI,True,HD141004,HD141004,HD141004,lam Ser,,16,OK
105,2022-03-31,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,HD141004,HD139610,HD139610,HD139610,CAL,CAL,False,HD139610,HD139610,,,,6,OK
105,2022-03-31,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,HD141004,HD142443,HD142443,HD142443,CAL,CAL,False,HD142443,HD142443,,,,6,OK
105,2022-04-02,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,HD141004,HD142443,HD142443,HD142443,CAL,CAL,False,HD142443,HD142443,,,,6,OK
105,2022-04-02,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,HD141004,HD141004,HD141004,HD141004,SCI,SCI,True,HD141004,HD141004,HD141004,lam Ser,,16,OK
105,2022-04-02,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,HD141004,HD142862,HD142862,HD142862,CAL,CAL,False,HD142862,HD142862,,,,6,OK
105,2022-04-02,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,HD141004,HD143129,HD143129,HD143129,CAL,CAL,False,HD143129,HD143129,,,,6,OK
105,2022-08-11,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HD142860,HD141589,HD141589,HD141589,CAL,CAL,False,HD141589,HD141589,,,,6,OK
105,2022-08-11,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,HD142860,HD142860,HD142860,HD142860,SCI,SCI,True,HD142860,HD142860,HD142860,gam Ser,,16,OK
